Song Id,Track Name,Genre,Source,License
94,Nerve 9 - Pray For The Rain,Pop/Rock,DSD,Restricted
95,Night Panther - Fire,Pop,MedleyDB,CC BY-NC-SA
96,North To Alaska - All The Same,Pop/Rock,DSD,Restricted
97,Patrick Talbot - A Reason To Leave,Jazz,DSD,Restricted
98,Patrick Talbot - Set Me Free,Jazz,DSD,Restricted
99,Phre The Eon - Everybody's Falling Apart,Pop/Rock,DSD,Restricted
100,Port St Willow - Stay Even,Singer/Songwriter,MedleyDB,CC BY-NC-SA
101,PR - Happy Daze,Electronic,Native Instruments,Restricted
102,PR - Oh No,Electronic,Native Instruments,Restricted
103,Punkdisco - Oral Hygiene,Pop/Rock,DSD,Restricted
104,Raft Monk - Tiring,Pop/Rock,DSD,Restricted
105,Remember December - C U Next Time,Pop/Rock,DSD,Restricted
106,Sambasevam Shanmugam - Kaathaadi,Pop/Rock,DSD,Restricted
107,Secret Mountains - High Horse,Pop,MedleyDB,CC BY-NC-SA
108,Secretariat - Borderline,Pop/Rock,DSD,Restricted
109,Secretariat - Over The Top,Pop/Rock,DSD,Restricted
110,Side Effects Project - Sing With Me,Rap,DSD,Restricted
111,Signe Jakobsen - What Have You Done To Me,Pop/Rock,DSD,Restricted
112,Skelpolu - Human Mistakes,Electronic,DSD,Restricted
113,Skelpolu - Resurrection,Electronic,DSD,Restricted
114,Skelpolu - Together Alone,Electronic,DSD,Restricted
115,Snowmine - Curfews,Pop,MedleyDB,CC BY-NC-SA
116,Speak Softly - Broken Man,Pop/Rock,DSD,Restricted
117,Speak Softly - Like Horses,Pop/Rock,DSD,Restricted
118,Spike Mullings - Mike's Sulking,Pop/Rock,DSD,Restricted
119,St Vitus - Word Gets Around,Pop/Rock,DSD,Restricted
120,Steven Clark - Bounty,Pop,MedleyDB,CC BY-NC-SA
121,Strand Of Oaks - Spacestation,Pop,MedleyDB,CC BY-NC-SA
122,Sweet Lights - You Let Me Down,Pop,MedleyDB,CC BY-NC-SA
123,Swinging Steaks - Lost My Way,Pop/Rock,DSD,Restricted
124,The Districts - Vermont,Rock,MedleyDB,CC BY-NC-SA
125,The Doppler Shift - Atrophy,Pop/Rock,DSD,Restricted
126,The Easton Ellises - Falcon 69,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0
127,The Easton Ellises (Baumi) - SDRNR,Pop/Rock,C't Remix Comp.,CC BY-NC-SA 3.0
128,The Long Wait - Back Home To Blue,Pop/Rock,DSD,Restricted
129,The Long Wait - Dark Horses,Pop/Rock,DSD,Restricted
130,The Mountaineering Club - Mallory,Pop/Rock,DSD,Restricted
131,The Scarlet Brand - Les Fleurs Du Mal,Rock,MedleyDB,CC BY-NC-SA
132,The So So Glos - Emergency,Rock,MedleyDB,CC BY-NC-SA
133,The Sunshine Garcia Band - For I Am The Moon,Reggae,DSD,Restricted
134,The Wrong'Uns - Rothko,Pop/Rock,DSD,Restricted
135,Tim Taler - Stalker,Pop/Rock,DSD,Restricted
136,Timboz - Pony,Heavy Metal,DSD,Restricted
137,Titanium - Haunted Age,Heavy Metal,DSD,Restricted
138,Tom McKenzie - Directions,Pop/Rock,DSD,Restricted
139,Traffic Experiment - Once More (With Feeling),Pop/Rock,DSD,Restricted
140,Traffic Experiment - Sirens,Pop/Rock,DSD,Restricted
141,Triviul - Angelsaint,Pop/Rock,DSD,Restricted
142,Triviul - Dorothy,Pop/Rock,DSD,Restricted
143,Triviul feat. The Fiend - Widow,Pop/Rock,DSD,Restricted
144,Voelund - Comfort Lives In Belief,Pop/Rock,DSD,Restricted
145,Wall Of Death - Femme,Heavy Metal,DSD,Restricted
146,We Fell From The Sky - Not You,Heavy Metal,DSD,Restricted
147,Young Griffo - Blood To Bone,Heavy Metal,DSD,Restricted
148,Young Griffo - Facade,Heavy Metal,DSD,Restricted
149,Young Griffo - Pennies,Heavy Metal,DSD,Restricted
150,Zeno - Signs,Pop/Rock,DSD,Restricted
